 Time | Epoch | Learning rate | Train loss | Validation loss | MAE_dft_e_hull_diff | GPU Memory (MB)
39:09 |    53 |     1.250e-04 |     0.0188 |          0.0649 |              0.0649 |             127
39:10 |    54 |     1.250e-04 |     0.0115 |          0.0559 |              0.0559 |             127
39:10 |    55 |     1.250e-04 |     0.0237 |          0.0568 |              0.0568 |             127
39:10 |    56 |     1.250e-04 |     0.0104 |          0.0717 |              0.0717 |             127
39:10 |    57 |     1.250e-04 |     0.0311 |          0.0718 |              0.0718 |             127
39:10 |    58 |     1.250e-04 |     0.0178 |          0.0598 |              0.0598 |             127
39:10 |    59 |     6.250e-05 |     0.0200 |          0.0601 |              0.0601 |             127
39:10 |    60 |     6.250e-05 |     0.0174 |          0.0593 |              0.0593 |             127
39:10 |    61 |     6.250e-05 |     0.0118 |          0.0683 |              0.0683 |             127
39:10 |    62 |     6.250e-05 |     0.0193 |          0.0626 |              0.0626 |             127
39:10 |    63 |     6.250e-05 |     0.0124 |          0.0567 |              0.0567 |             127
39:11 |    64 |     6.250e-05 |     0.0134 |          0.0548 |              0.0548 |             127
39:11 |    65 |     6.250e-05 |     0.0063 |          0.0593 |              0.0593 |             127
39:11 |    66 |     6.250e-05 |     0.0143 |          0.0584 |              0.0584 |             127
39:11 |    67 |     6.250e-05 |     0.0084 |          0.0507 |              0.0507 |             127
39:11 |    68 |     6.250e-05 |     0.0110 |          0.0505 |              0.0505 |             127
39:11 |    69 |     6.250e-05 |     0.0075 |          0.0579 |              0.0579 |             127
39:11 |    70 |     3.125e-05 |     0.0092 |          0.0555 |              0.0555 |             127
39:11 |    71 |     3.125e-05 |     0.0048 |          0.0516 |              0.0516 |             127
39:12 |    72 |     3.125e-05 |     0.0067 |          0.0538 |              0.0538 |             127
39:12 |    73 |     3.125e-05 |     0.0055 |          0.0575 |              0.0575 |             127
39:12 |    74 |     3.125e-05 |     0.0076 |          0.0554 |              0.0554 |             127
39:12 |    75 |     3.125e-05 |     0.0048 |          0.0527 |              0.0527 |             127
39:12 |    76 |     3.125e-05 |     0.0055 |          0.0549 |              0.0549 |             127
39:12 |    77 |     3.125e-05 |     0.0056 |          0.0553 |              0.0553 |             127
39:12 |    78 |     3.125e-05 |     0.0041 |          0.0523 |              0.0523 |             127
39:12 |    79 |     3.125e-05 |     0.0047 |          0.0530 |              0.0530 |             127
39:12 |    80 |     3.125e-05 |     0.0043 |          0.0540 |              0.0540 |             127
39:13 |    81 |     1.563e-05 |     0.0041 |          0.0523 |              0.0523 |             127
39:13 |    82 |     1.563e-05 |     0.0050 |          0.0510 |              0.0510 |             127
39:13 |    83 |     1.563e-05 |     0.0055 |          0.0526 |              0.0526 |             127
39:13 |    84 |     1.563e-05 |     0.0036 |          0.0539 |              0.0539 |             127
39:13 |    85 |     1.563e-05 |     0.0037 |          0.0537 |              0.0537 |             127
39:13 |    86 |     1.563e-05 |     0.0035 |          0.0544 |              0.0544 |             127
39:13 |    87 |     1.563e-05 |     0.0038 |          0.0537 |              0.0537 |             127
39:13 |    88 |     1.563e-05 |     0.0048 |          0.0529 |              0.0529 |             127
39:13 |    89 |     1.563e-05 |     0.0041 |          0.0550 |              0.0550 |             127
39:13 |    90 |     1.563e-05 |     0.0054 |          0.0562 |              0.0562 |             127
39:14 |    91 |     1.563e-05 |     0.0064 |          0.0542 |              0.0542 |             127
39:14 |    92 |     7.813e-06 |     0.0039 |          0.0528 |              0.0528 |             127
39:14 |    93 |     7.813e-06 |     0.0043 |          0.0533 |              0.0533 |             127
39:14 |    94 |     7.813e-06 |     0.0040 |          0.0544 |              0.0544 |             127
39:14 |    95 |     7.813e-06 |     0.0043 |          0.0547 |              0.0547 |             127
39:14 |    96 |     7.813e-06 |     0.0037 |          0.0536 |              0.0536 |             127
39:14 |    97 |     7.813e-06 |     0.0042 |          0.0531 |              0.0531 |             127
39:14 |    98 |     7.813e-06 |     0.0042 |          0.0543 |              0.0543 |             127
39:14 |    99 |     7.813e-06 |     0.0037 |          0.0549 |              0.0549 |             127
39:15 |   100 |     7.813e-06 |     0.0035 |          0.0539 |              0.0539 |             127
